STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,ANNUAL_ESAL_TREND,ANNUAL_GESAL_TREND
1,Alabama,0563,2,2002,98218,107076
1,Alabama,0563,1,2001,95718,104378
1,Alabama,0563,3,2001,95718,104378
1,Alabama,0563,2,2001,95718,104378
1,Alabama,0563,2,2000,94399,102927
1,Alabama,0563,1,2000,94399,102927
1,Alabama,0563,3,2000,94399,102927
1,Alabama,0563,1,1996,88166,96117
1,Alabama,0563,2,1996,88166,96117
1,Alabama,0563,2,1998,93119,101521
1,Alabama,0563,1,1998,93119,101521
1,Alabama,0563,1,1997,90126,98272
1,Alabama,0563,2,1997,90126,98272
1,Alabama,0563,1,1992,78222,85279
1,Alabama,0563,2,1992,78222,85279
1,Alabama,0563,2,1991,75745,5205
1,Alabama,0563,1,1991,75745,82596
1,Alabama,0563,2,1993,80209,87463
1,Alabama,0563,1,1993,80209,87463
1,Alabama,0563,2,1994,54000,49136
1,Alabama,0563,1,1994,54000,49136
1,Alabama,0563,1,1995,85286,92991
1,Alabama,0563,2,1995,85286,92991
1,Alabama,0563,1,1985,65390,71304
1,Alabama,0563,1,1982,45439,49549
1,Alabama,0563,1,1988,87822,95777
1,Alabama,0563,1,1986,73544,80178
1,Alabama,0563,1,1987,82034,89467
1,Alabama,0563,1,1983,48702,53097
1,Alabama,0563,1,1990,73920,80591
1,Alabama,0563,1,1984,64742,70591
1,Alabama,0563,1,1980,54754,59695
1,Alabama,0563,1,1978,54980,59944
1,Alabama,0563,1,1981,54604,59531
1,Alabama,0563,1,1977,46888,51140
1,Alabama,0563,1,1979,55075,60051
1,Alabama,0563,1,1976,45563,29050
1,Alabama,0563,1,1989,91597,99889
1,Alabama,0564,1,1975,0,0
1,Alabama,0564,1,1999,95327,25635
